AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -35.00, GZ: -2.00

AX: 0.98, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -38.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -198.00, GY: -39.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -34.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -197.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -34.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -198.00, GY: -34.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -39.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -204.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -36.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -195.00, GY: -37.00, GZ: 3.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -199.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -200.00, GY: -35.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -197.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.02, GX: -200.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: 0.00, GX: -199.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -201.00, GY: -37.00, GZ: -5.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -201.00, GY: -34.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -198.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -35.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -201.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -202.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -199.00, GY: -37.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -205.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -198.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -39.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -41.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -35.00, GZ: -1.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -40.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: 1.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -33.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -195.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -199.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -37.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -38.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -204.00, GY: -36.00, GZ: -1.00

AX: 1.00, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -34.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -37.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: -5.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -34.00, GZ: -4.00

AX: 1.00, AY: -0.02, AZ: -0.00, GX: -205.00, GY: -36.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -34.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -33.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -198.00, GY: -33.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -34.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -40.00, GZ: -1.00

AX: 1.00, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -37.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -197.00, GY: -35.00, GZ: 2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -37.00, GZ: -5.00

AX: 0.99, AY: -0.03, AZ: -0.02, GX: -197.00, GY: -36.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -200.00, GY: -34.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -40.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -202.00, GY: -34.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -33.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -201.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -204.00, GY: -32.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -195.00, GY: -36.00, GZ: -2.00

AX: 1.00, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -33.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -201.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -194.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -34.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -198.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -199.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -33.00, GZ: 3.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -203.00, GY: -38.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -34.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -34.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -204.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -204.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -38.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -197.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -198.00, GY: -36.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -34.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -38.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -206.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -200.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -199.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -202.00, GY: -42.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: -1.00

AX: 1.00, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -41.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.02, GX: -201.00, GY: -35.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -198.00, GY: -37.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -200.00, GY: -34.00, GZ: -1.00

AX: 1.00, AY: -0.02, AZ: -0.00, GX: -198.00, GY: -39.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -202.00, GY: -38.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -38.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -204.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -203.00, GY: -34.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -198.00, GY: -32.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: 0.00, GX: -199.00, GY: -32.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -201.00, GY: -39.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -36.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.02, GX: -198.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -198.00, GY: -39.00, GZ: 0.00

AX: 1.00, AY: -0.02, AZ: -0.00, GX: -203.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -201.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -36.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -204.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -39.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -38.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -204.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -37.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -33.00, GZ: -5.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -194.00, GY: -35.00, GZ: -2.00

AX: 1.00, AY: -0.03, AZ: -0.01, GX: -198.00, GY: -34.00, GZ: 2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -204.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -37.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -204.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -37.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -36.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -200.00, GY: -40.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -193.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -34.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -198.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -33.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -37.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -34.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: 0.00, GX: -199.00, GY: -37.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -198.00, GY: -37.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -202.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -38.00, GZ: -5.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -37.00, GZ: -1.00

AX: 0.98, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -38.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -199.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -34.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -199.00, GY: -36.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -36.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -39.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -200.00, GY: -42.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -33.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -34.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -32.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: -5.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -41.00, GZ: 2.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -34.00, GZ: -1.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -41.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -37.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -202.00, GY: -38.00, GZ: -1.00

AX: 0.98, AY: -0.02, AZ: -0.00, GX: -196.00, GY: -35.00, GZ: 0.00

AX: 1.00, AY: -0.04, AZ: -0.01, GX: -204.00, GY: -42.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -36.00, GZ: -5.00

AX: 1.00, AY: -0.01, AZ: -0.01, GX: -197.00, GY: -41.00, GZ: -3.00

AX: 0.97, AY: -0.04, AZ: -0.01, GX: -207.00, GY: -36.00, GZ: -1.00

AX: 1.00, AY: -0.01, AZ: -0.01, GX: -205.00, GY: -32.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -205.00, GY: -36.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -199.00, GY: -36.00, GZ: 0.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -197.00, GY: -35.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -201.00, GY: -36.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -202.00, GY: -34.00, GZ: -3.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -36.00, GZ: 3.00

AX: 1.00, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -37.00, GZ: -1.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -34.00, GZ: 0.00

AX: 1.00, AY: -0.03, AZ: 0.00, GX: -200.00, GY: -33.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -196.00, GY: -36.00, GZ: -4.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: 0.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -36.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -39.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -197.00, GY: -34.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -199.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -33.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -196.00, GY: -35.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -35.00, GZ: 1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -201.00, GY: -35.00, GZ: 3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -202.00, GY: -33.00, GZ: 0.00

AX: 1.00, AY: -0.02, AZ: -0.00, GX: -200.00, GY: -40.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -41.00, GZ: -5.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -198.00, GY: -38.00, GZ: -2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -203.00, GY: -38.00, GZ: 0.00

AX: 0.99, AY: -0.02, AZ: 0.00, GX: -196.00, GY: -34.00, GZ: -2.00

AX: 1.00, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -35.00, GZ: -5.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -205.00, GY: -37.00, GZ: -4.00

AX: 0.99, AY: -0.02, AZ: -0.00, GX: -198.00, GY: -37.00, GZ: 3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -203.00, GY: -32.00, GZ: -3.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -199.00, GY: -35.00, GZ: -2.00

AX: 0.99, AY: -0.02, AZ: -0.01, GX: -200.00, GY: -35.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -200.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -36.00, GZ: -1.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -197.00, GY: -33.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -199.00, GY: -38.00, GZ: 2.00

AX: 0.99, AY: -0.03, AZ: -0.00, GX: -201.00, GY: -36.00, GZ: 0.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -201.00, GY: -36.00, GZ: -2.00
